Seat_Class,Booking_Channel,Origin,Destination,Distance_km,Route_Category,Customer_Segment,Loyalty_Status,Booking_Frequency_Qtr,Average_Spend_GBP,Total_Seats,Seats_Sold_Realized,Remaining_Seats_Realized,Demand_Index,Base_Price_At_Booking,Days_Before_Travel,Price_Premium,Load_Factor,Ticket_Price_GBP
Standard,Web,Leeds,Frankfurt,104.5,Short,Leisure,Silver,8,309.43,250,188,62,1.906,36.83,174,1.025,0.753,46.42
Business,Web,Manchester,Paris,1289.2,Long,Leisure,None,16,372.46,250,163,87,2.104,218.18,134,1.023,0.653,296.49
First,Web,Edinburgh,Rotterdam,175.9,Short,Business,Platinum,18,316.75,300,268,32,1.134,81.37,79,0.973,0.895,80.88
Standard,Mobile,Bristol,Frankfurt,72.3,Short,Business,None,4,232.15,200,183,17,0.549,53.72,160,0.983,0.916,42.19
Standard,Web,Bristol,Brussels,267.2,Medium,Business,Gold,0,249.74,300,160,140,2.792,67.24,82,0.979,0.534,95.4
Standard,Station,Glasgow,Amsterdam,113.2,Short,Business,None,6,125.66,250,168,82,0.685,59.01,111,1.025,0.673,67.32
Standard,Web,Birmingham,Lyon,98.0,Short,Senior,Gold,0,60.19,300,184,116,2.998,61.37,96,0.953,0.615,85.57
Business,Mobile,Leeds,Brussels,527.8,Medium,Leisure,Platinum,9,433.21,200,119,81,2.673,101.34,140,0.992,0.598,137.61
Standard,Mobile,London,Paris,199.5,Short,Student,None,2,351.83,200,176,24,0.79,49.59,34,1.027,0.88,40.5
First,Mobile,Birmingham,Lyon,77.2,Short,Leisure,Platinum,16,79.0,100,76,24,2.998,65.52,66,0.964,0.764,104.55
Standard,Station,Glasgow,Lyon,164.4,Short,Leisure,None,9,146.83,150,94,56,2.52,54.95,172,1.044,0.632,78.61
Business,Mobile,London,Lyon,442.9,Medium,Leisure,None,8,434.35,300,255,45,2.62,109.27,86,1.041,0.852,171.59
First,Agent,Leeds,Brussels,457.8,Medium,Leisure,Platinum,8,480.72,100,96,4,2.524,115.48,21,1.197,0.96,164.8
Standard,Web,Birmingham,Paris,89.7,Short,Student,Gold,10,399.75,100,58,42,2.822,46.7,6,1.404,0.585,83.79
Standard,Mobile,Birmingham,Brussels,238.9,Medium,Leisure,None,12,293.58,100,39,61,2.392,64.49,12,1.115,0.395,99.65
Standard,Web,Bristol,Lyon,417.3,Medium,Leisure,Platinum,8,437.19,200,188,12,1.816,93.69,132,1.026,0.944,95.08
Standard,Web,London,Lyon,445.4,Medium,Leisure,Gold,11,320.87,300,291,9,0.5,85.47,7,1.184,0.97,62.88
Standard,Web,Manchester,Rotterdam,585.2,Medium,Leisure,None,6,355.72,300,175,125,1.198,114.89,76,0.958,0.586,112.96
Standard,Web,Manchester,Amsterdam,151.3,Short,Student,Platinum,2,416.94,300,226,74,2.001,55.36,73,0.994,0.754,64.16
Standard,Web,Birmingham,Frankfurt,377.5,Medium,Student,Silver,11,189.91,250,90,160,1.28,80.14,7,1.161,0.363,93.75
Standard,Web,Leeds,Brussels,1494.6,Long,Student,None,12,396.58,150,49,101,1.525,205.06,47,1.017,0.333,238.01
Standard,Web,Birmingham,Paris,349.3,Medium,Business,Gold,9,119.34,250,91,159,0.77,79.77,22,1.149,0.366,55.74
Standard,Station,Glasgow,Rotterdam,74.4,Short,Business,Gold,5,113.24,200,168,32,2.95,40.85,155,0.955,0.842,51.93
Standard,Web,Bristol,Lyon,142.7,Short,Leisure,Silver,19,409.44,100,62,38,0.787,52.69,38,1.009,0.621,54.55
Standard,Mobile,Glasgow,Brussels,839.6,Long,Business,Platinum,4,290.62,100,75,25,0.678,131.3,88,0.959,0.759,104.63
First,Web,London,Frankfurt,568.9,Medium,Leisure,Platinum,12,218.67,250,172,78,1.961,135.04,14,1.107,0.688,164.22
Standard,Station,Glasgow,Brussels,114.2,Short,Senior,None,19,271.26,200,87,113,2.054,58.34,168,0.958,0.436,79.77
Standard,Station,Birmingham,Frankfurt,72.4,Short,Senior,Platinum,19,489.4,150,130,20,1.811,37.87,100,1.045,0.87,46.3
Standard,Mobile,Glasgow,Brussels,727.5,Long,Senior,None,8,449.2,150,67,83,1.383,122.85,101,1.019,0.45,133.57
Standard,Mobile,Leeds,Amsterdam,147.4,Short,Leisure,Silver,8,263.64,100,42,58,2.811,44.96,116,1.012,0.428,77.33
Standard,Web,Manchester,Brussels,346.4,Medium,Leisure,Platinum,6,282.65,100,73,27,1.359,70.2,50,1.023,0.732,60.03
Standard,Agent,London,Rotterdam,345.5,Medium,Student,Gold,6,314.83,300,272,28,1.277,74.39,32,0.974,0.908,77.69
Standard,Station,Birmingham,Cologne,444.9,Medium,Business,None,0,399.6,250,226,24,2.863,95.75,69,0.981,0.906,151.19
Business,Station,London,Amsterdam,83.2,Short,Business,Silver,17,439.43,100,60,40,2.712,47.43,87,1.04,0.607,72.49
Business,Mobile,Bristol,Frankfurt,71.8,Short,Leisure,Silver,11,90.33,200,156,44,1.692,51.0,5,1.416,0.78,65.3
First,Web,Glasgow,Lyon,1191.5,Long,Student,None,13,321.53,150,131,19,1.152,204.87,122,1.033,0.878,216.26
Standard,Station,Manchester,Lyon,202.1,Medium,Business,Platinum,14,129.05,150,67,83,0.824,49.21,40,1.045,0.451,40.62
Standard,Web,Leeds,Brussels,1416.6,Long,Leisure,Gold,2,318.45,200,115,85,2.498,214.38,166,0.995,0.576,295.13
